#1:t(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:dyn	#7:BS	#8:BB	#9:prev_partners_1	#10:prev_partners_2	#11:a	#12:e	#13:model
0.016937  10.5023  14.5246  1215673.0  2008391.0  1.0  2.0  0.0  2.0  0.0  2.56073  0.430919  2e6-z0.001
0.017714  9.34156  15.2599  834011.0  2094184.0  1.0  5.0  1.0  2.0  0.0  6.365  0.776479  2e6-z0.001
0.019547  14.011  19.1457  219190.0  2513853.0  1.0  3.0  0.0  3.0  0.0  2.71028  0.064637  2e6-z0.001
0.022308  13.4096  14.1917  1462067.0  2064263.0  1.0  1.0  0.0  3.0  0.0  2.22097  0.054007  2e6-z0.001
0.026137  13.6963  14.8731  1523428.0  2195484.0  1.0  2.0  0.0  1.0  0.0  2.39416  0.038612  2e6-z0.001
0.040286  18.6604  26.4052  964376.0  2081378.0  1.0  4.0  0.0  4.0  0.0  4.35697  0.019819  2e6-z0.001
0.054037  11.1783  16.8521  728164.0  2760201.0  1.0  3.0  0.0  3.0  0.0  5.37237  0.604419  2e6-z0.001
0.065385  14.4124  18.1586  110402.0  2116129.0  1.0  2.0  0.0  7.0  0.0  2.55073  0.068512  2e6-z0.001
0.066054  15.6881  17.4535  1945571.0  2046674.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2e6-z0.001
0.069649  11.7942  18.2553  1807613.0  2038782.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  2e6-z0.001
0.071581  14.8155  18.2337  1598395.0  2191321.0  0.0  0.0  0.0  9.0  0.0  0.0  0.0  2e6-z0.001
0.072375  16.5125  16.7407  424104.0  2253609.0  1.0  9.0  0.0  7.0  0.0  3.4852  0.320955  2e6-z0.001
0.097965  14.6438  19.5049  1002782.0  2104941.0  1.0  1.0  0.0  2.0  0.0  0.310379  0.004895  2e6-z0.001
0.09892  19.1192  15.3425  2027075.0  2782440.0  1.0  5.0  2.0  1.0  0.0  0.0  0.0  2e6-z0.001
0.16004  10.8318  10.9191  45268.0  2463734.0  1.0  1.0  0.0  4.0  0.0  2.12504  0.230511  2e6-z0.001
0.183361  11.2277  10.905  209290.0  2124265.0  0.0  15.0  1.0  0.0  15.0  0.0  0.0  2e6-z0.001
0.010864  15.3384  24.0786  958917.0  2049982.0  1.0  1.0  0.0  3.0  0.0  2.13559  0.022413  2e6-z0.001-1
0.011013  16.4936  23.6433  566003.0  2146677.0  1.0  1.0  0.0  2.0  0.0  2.33932  0.020709  2e6-z0.001-1
0.011511  14.1473  21.7937  1184894.0  2043548.0  0.0  0.0  0.0  9.0  0.0  0.0  0.0  2e6-z0.001-1
0.011878  14.8964  23.176  352191.0  2317284.0  1.0  4.0  1.0  11.0  0.0  2.33492  0.126266  2e6-z0.001-1
0.013164  10.8992  18.8959  319528.0  2151070.0  1.0  5.0  1.0  0.0  0.0  7.91696  0.838388  2e6-z0.001-1
0.013164  11.4087  18.4657  1807613.0  2038782.0  0.0  0.0  0.0  4.0  0.0  0.0  0.0  2e6-z0.001-1
0.0136  11.0836  17.2453  6253.0  2130508.0  1.0  1.0  0.0  0.0  0.0  2.36583  0.448908  2e6-z0.001-1
0.018429  12.695  12.3199  677043.0  2118237.0  0.0  1.0  1.0  0.0  3.0  0.0  0.0  2e6-z0.001-1
0.019141  12.2858  14.1486  1979910.0  2088772.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2e6-z0.001-1
0.019199  12.0211  11.2064  31620.0  2167075.0  0.0  1.0  3.0  0.0  6.0  0.0  0.0  2e6-z0.001-1
0.020827  14.0787  13.423  1239755.0  2011898.0  0.0  0.0  0.0  0.0  3.0  0.0  0.0  2e6-z0.001-1
0.022014  14.3999  13.6349  1107509.0  2178727.0  0.0  1.0  1.0  0.0  0.0  0.0  0.0  2e6-z0.001-1
0.022663  14.3908  13.839  635748.0  2088752.0  0.0  3.0  0.0  0.0  0.0  0.0  0.0  2e6-z0.001-1
0.022976  13.4147  14.3412  1462067.0  2064263.0  1.0  1.0  0.0  0.0  0.0  0.265766  0.011575  2e6-z0.001-1
0.023693  27.1961  13.4506  2277198.0  4296457.0  1.0  3.0  0.0  0.0  0.0  3.97315  0.860212  2e6-z0.001-1
0.027127  13.6919  14.9464  198666.0  3435448.0  1.0  0.0  0.0  3.0  0.0  0.0  0.0  2e6-z0.001-1
0.028391  13.5865  15.3835  1523428.0  2195484.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  2e6-z0.001-1
0.037474  18.3966  25.961  1075588.0  2001737.0  1.0  1.0  1.0  4.0  0.0  4.13965  0.026023  2e6-z0.001-1
0.03771  15.5121  15.0416  192188.0  2232452.0  1.0  4.0  0.0  3.0  0.0  0.0  0.0  2e6-z0.001-1
0.044561  15.3791  16.178  1874670.0  2026016.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  2e6-z0.001-1
0.080464  14.4013  19.09  110402.0  2116129.0  1.0  3.0  0.0  6.0  0.0  0.033283  0.05451  2e6-z0.001-1
0.089246  15.2774  18.7782  1046756.0  2027075.0  1.0  2.0  0.0  4.0  0.0  2.22047  0.046558  2e6-z0.001-1
0.090293  14.7817  19.1206  1598395.0  2191321.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  2e6-z0.001-1
0.098531  14.6277  19.6077  1002782.0  2104941.0  1.0  2.0  0.0  1.0  0.0  0.037915  0.054671  2e6-z0.001-1
